,year,month,date,region,precipitation,Season
0,2000,3,2000-03-01T00:00:00,Western and Rift Valley,34.9557101929825,Long Rain
1,2000,4,2000-04-01T00:00:00,Western and Rift Valley,54.3639847133321,Long Rain
2,2000,5,2000-05-01T00:00:00,Western and Rift Valley,50.468251771682645,Long Rain
3,2000,6,2000-06-01T00:00:00,Western and Rift Valley,36.07266637872148,Long Rain
4,2001,3,2001-03-01T00:00:00,Western and Rift Valley,92.41982324914083,Long Rain
5,2001,4,2001-04-01T00:00:00,Western and Rift Valley,109.50789362015132,Long Rain
6,2001,5,2001-05-01T00:00:00,Western and Rift Valley,55.79183013518247,Long Rain
7,2001,6,2001-06-01T00:00:00,Western and Rift Valley,60.8945993181112,Long Rain
8,2002,3,2002-03-01T00:00:00,Western and Rift Valley,96.51105339350798,Long Rain
9,2002,4,2002-04-01T00:00:00,Western and Rift Valley,115.92278656833061,Long Rain
10,2002,5,2002-05-01T00:00:00,Western and Rift Valley,108.9852568142323,Long Rain
11,2002,6,2002-06-01T00:00:00,Western and Rift Valley,37.288598868533036,Long Rain
12,2003,3,2003-03-01T00:00:00,Western and Rift Valley,63.71247768984104,Long Rain
13,2003,4,2003-04-01T00:00:00,Western and Rift Valley,146.0782232546073,Long Rain
14,2003,5,2003-05-01T00:00:00,Western and Rift Valley,126.61545586375927,Long Rain
15,2003,6,2003-06-01T00:00:00,Western and Rift Valley,47.03016622363535,Long Rain
16,2004,3,2004-03-01T00:00:00,Western and Rift Valley,66.60321379271683,Long Rain
17,2004,4,2004-04-01T00:00:00,Western and Rift Valley,152.24650645911763,Long Rain
18,2004,5,2004-05-01T00:00:00,Western and Rift Valley,66.24146187341094,Long Rain
19,2004,6,2004-06-01T00:00:00,Western and Rift Valley,30.547451301915753,Long Rain
20,2005,3,2005-03-01T00:00:00,Western and Rift Valley,66.02659362968976,Long Rain
21,2005,4,2005-04-01T00:00:00,Western and Rift Valley,93.5628110142329,Long Rain
22,2005,5,2005-05-01T00:00:00,Western and Rift Valley,128.14828569732813,Long Rain
