,year,month,date,region,admin2_name,precipitation,season
0,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Vihiga,98.70364139087943,Long Rains
1,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Vihiga,174.78898659373934,Long Rains
2,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Vihiga,233.68460098653134,Long Rains
3,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Vihiga,124.2130569657251,Long Rains
4,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Narok,86.44563972412402,Long Rains
5,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Narok,85.24231582577667,Long Rains
6,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Narok,46.85700146979006,Long Rains
7,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Narok,33.01483759075111,Long Rains
8,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Trans Mara,170.85481872222587,Long Rains
9,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Trans Mara,144.76984087938587,Long Rains
10,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Trans Mara,116.39964798321908,Long Rains
11,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Trans Mara,75.43120606184625,Long Rains
12,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Bomet,123.03890697881037,Long Rains
13,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Bomet,157.77424873642124,Long Rains
14,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Bomet,122.22162385910468,Long Rains
15,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Bomet,76.96548745322416,Long Rains
16,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Buret,90.18882539161511,Long Rains
17,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Buret,180.25920711173447,Long Rains
18,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Buret,183.47653093664564,Long Rains
19,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Buret,123.14821333428684,Long Rains
20,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Nandi North,48.146577489671415,Long Rains
21,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Nandi North,129.0001079146791,Long Rains
22,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Nandi North,182.10908488932094,Long Rains
23,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Nandi North,143.19399321426468,Long Rains
24,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Nandi South,70.90860767781146,Long Rains
25,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Nandi South,139.96124068020418,Long Rains
26,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Nandi South,174.3014226776922,Long Rains
27,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Nandi South,134.07196948238408,Long Rains
28,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Baringo,21.158159506318253,Long Rains
29,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Baringo,26.254335377391147,Long Rains
30,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Baringo,67.760483920323,Long Rains
31,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Baringo,62.071823955006444,Long Rains
32,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Kajiado,60.961386698421414,Long Rains
33,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Kajiado,70.05697869676966,Long Rains
34,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Kajiado,21.41900282656351,Long Rains
35,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Kajiado,6.637141810077701,Long Rains
36,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Keiyo,33.84675542912377,Long Rains
37,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Keiyo,66.67548374897353,Long Rains
38,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Keiyo,137.42705545652095,Long Rains
39,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Keiyo,97.65647485966191,Long Rains
40,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Kericho,69.62714999170385,Long Rains
41,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Kericho,142.0464232044373,Long Rains
42,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Kericho,150.54712924850048,Long Rains
43,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Kericho,118.72164670395027,Long Rains
44,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Koibatek,17.672351281389663,Long Rains
45,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Koibatek,51.635226493530645,Long Rains
46,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Koibatek,76.03160022018012,Long Rains
47,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Koibatek,72.51504134364207,Long Rains
48,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Laikipia,16.765473696455633,Long Rains
49,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Laikipia,37.490284831446324,Long Rains
50,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Laikipia,41.354345142011425,Long Rains
51,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Laikipia,33.02272557577769,Long Rains
52,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Marakwet,33.13516603670429,Long Rains
53,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Marakwet,62.46741751140367,Long Rains
54,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Marakwet,140.0290596291611,Long Rains
55,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Marakwet,80.1880547181704,Long Rains
56,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Nakuru,25.63842542967063,Long Rains
57,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Nakuru,74.64031608653609,Long Rains
58,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Nakuru,65.28278917631748,Long Rains
59,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Nakuru,55.88795539460602,Long Rains
60,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Samburu,15.49520666423334,Long Rains
61,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Samburu,27.397527918646386,Long Rains
62,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Samburu,16.783354402902095,Long Rains
63,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Samburu,12.48476104637276,Long Rains
64,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Trans Nzoia,23.889387308865096,Long Rains
65,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Trans Nzoia,127.22121929781645,Long Rains
66,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Trans Nzoia,160.60864572063872,Long Rains
67,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Trans Nzoia,83.68946493271278,Long Rains
68,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Turkana,13.284718411016563,Long Rains
69,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Turkana,15.805505493624967,Long Rains
70,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Turkana,11.779986041121122,Long Rains
71,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Turkana,16.05863263132701,Long Rains
72,2000,3,2000-03-01T00:00:00,Western and Rift Valley,Uasin Gishu,27.65142562315035,Long Rains
73,2000,4,2000-04-01T00:00:00,Western and Rift Valley,Uasin Gishu,91.74834241767203,Long Rains
74,2000,5,2000-05-01T00:00:00,Western and Rift Valley,Uasin Gishu,130.7049875073501,Long Rains
75,2000,6,2000-06-01T00:00:00,Western and Rift Valley,Uasin Gishu,90.92686630225191,Long Rains
76,2000,3,2000-03-01T00:00:00,Western and Rift Valley,West Pokot,19.1825392210721,Long Rains
77,2000,4,2000-04-01T00:00:00,Western and Rift Valley,West Pokot,59.05300418420826,Long Rains
78,2000,5,2000-05-01T00:00:00,Western and Rift Valley,West Pokot,85.41525951706845,Long Rains
79,2000,6,2000-06-01T00:00:00,Western and Rift Valley,West Pokot,52.27859923411892,Long Rains
80,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Vihiga,159.24035091997547,Long Rains
81,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Vihiga,251.3392967032024,Long Rains
82,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Vihiga,195.533402396071,Long Rains
83,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Vihiga,149.94499749525812,Long Rains
84,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Narok,99.41182817258357,Long Rains
85,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Narok,135.38368701812504,Long Rains
86,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Narok,70.29918953101149,Long Rains
87,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Narok,64.46032818325286,Long Rains
88,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Trans Mara,128.29405682031972,Long Rains
