,year,month,date,region,admin2_name,precipitation
0,2000,1,2000-01-01T00:00:00,Zambia,Chibombo,216.89919684440824
1,2000,2,2000-02-01T00:00:00,Zambia,Chibombo,242.51791474563345
2,2000,3,2000-03-01T00:00:00,Zambia,Chibombo,195.53064086990764
10,2000,11,2000-11-01T00:00:00,Zambia,Chibombo,117.32810289485903
11,2000,12,2000-12-01T00:00:00,Zambia,Chibombo,201.9032062450079
12,2001,1,2001-01-01T00:00:00,Zambia,Chibombo,222.09239624667313
13,2001,2,2001-02-01T00:00:00,Zambia,Chibombo,331.40041422985723
14,2001,3,2001-03-01T00:00:00,Zambia,Chibombo,160.70373621497933
22,2001,11,2001-11-01T00:00:00,Zambia,Chibombo,134.06971368254017
23,2001,12,2001-12-01T00:00:00,Zambia,Chibombo,199.8735935736115
24,2002,1,2002-01-01T00:00:00,Zambia,Chibombo,131.59346050154696
25,2002,2,2002-02-01T00:00:00,Zambia,Chibombo,64.78326358810281
26,2002,3,2002-03-01T00:00:00,Zambia,Chibombo,40.5113603156078
34,2002,11,2002-11-01T00:00:00,Zambia,Chibombo,82.07636043315293
35,2002,12,2002-12-01T00:00:00,Zambia,Chibombo,223.1151467840832
36,2003,1,2003-01-01T00:00:00,Zambia,Chibombo,148.013992240786
37,2003,2,2003-02-01T00:00:00,Zambia,Chibombo,233.91351882511208
38,2003,3,2003-03-01T00:00:00,Zambia,Chibombo,214.50782028991415
46,2003,11,2003-11-01T00:00:00,Zambia,Chibombo,95.4768062346781
47,2003,12,2003-12-01T00:00:00,Zambia,Chibombo,181.3376006082415
48,2004,1,2004-01-01T00:00:00,Zambia,Chibombo,216.41819684346225
49,2004,2,2004-02-01T00:00:00,Zambia,Chibombo,206.68237515338618
50,2004,3,2004-03-01T00:00:00,Zambia,Chibombo,120.56909053479444
58,2004,11,2004-11-01T00:00:00,Zambia,Chibombo,72.87788772016785
59,2004,12,2004-12-01T00:00:00,Zambia,Chibombo,285.6087537687245
60,2005,1,2005-01-01T00:00:00,Zambia,Chibombo,188.95048917580948
61,2005,2,2005-02-01T00:00:00,Zambia,Chibombo,61.31102570777801
62,2005,3,2005-03-01T00:00:00,Zambia,Chibombo,52.318108688352034
70,2005,11,2005-11-01T00:00:00,Zambia,Chibombo,92.83503265861232
71,2005,12,2005-12-01T00:00:00,Zambia,Chibombo,251.63213123363803
72,2006,1,2006-01-01T00:00:00,Zambia,Chibombo,189.2751051705118
73,2006,2,2006-02-01T00:00:00,Zambia,Chibombo,219.96001545397124
74,2006,3,2006-03-01T00:00:00,Zambia,Chibombo,140.8405612709806
82,2006,11,2006-11-01T00:00:00,Zambia,Chibombo,103.8510028787556
83,2006,12,2006-12-01T00:00:00,Zambia,Chibombo,157.49651470143107
84,2007,1,2007-01-01T00:00:00,Zambia,Chibombo,277.5966519008278
85,2007,2,2007-02-01T00:00:00,Zambia,Chibombo,226.36865013484723
