,region,admin2_name,season,spi_scale,Drought Event,Drought Duration,Drought Severity,Drought Intensity,Drought Event_start,Drought Event_end
0,Eastern and Northern Kenya,Garissa,Long Rains,1,1,9,-1.2190553657178071,-0.13545059619086747,2000-06,2001-03
1,Eastern and Northern Kenya,Garissa,Long Rains,1,2,9,-1.3078023930870621,-0.14531137700967356,2001-06,2002-03
2,Eastern and Northern Kenya,Garissa,Long Rains,1,3,9,-1.092735021349277,-0.1214150023721419,2003-06,2004-03
3,Eastern and Northern Kenya,Garissa,Long Rains,1,4,9,-1.2164122016747092,-0.1351569112971899,2005-06,2006-03
4,Eastern and Northern Kenya,Garissa,Long Rains,1,5,9,-1.0210406884474459,-0.11344896538304955,2007-06,2008-03
5,Eastern and Northern Kenya,Garissa,Long Rains,1,6,9,-1.0666625040560684,-0.11851805600622983,2009-06,2010-03
6,Eastern and Northern Kenya,Garissa,Long Rains,1,7,9,-1.0590416164782073,-0.11767129071980081,2010-06,2011-03
7,Eastern and Northern Kenya,Garissa,Long Rains,1,8,9,-1.244446053036468,-0.13827178367071868,2011-06,2012-03
8,Eastern and Northern Kenya,Garissa,Long Rains,1,9,9,-1.3099236191712826,-0.14554706879680918,2012-06,2013-03
9,Eastern and Northern Kenya,Garissa,Long Rains,1,10,9,-1.2343122539046145,-0.13714580598940163,2013-06,2014-03
10,Eastern and Northern Kenya,Garissa,Long Rains,1,11,9,-1.1106125177070385,-0.12340139085633761,2014-06,2015-03
11,Eastern and Northern Kenya,Garissa,Long Rains,1,12,9,-1.101763550592696,-0.12241817228807733,2015-06,2016-03
12,Eastern and Northern Kenya,Garissa,Long Rains,1,13,9,-1.126450361888843,-0.12516115132098257,2016-06,2017-03
13,Eastern and Northern Kenya,Garissa,Long Rains,1,14,9,-1.2508661451656462,-0.13898512724062737,2019-06,2020-03
14,Eastern and Northern Kenya,Garissa,Long Rains,1,15,9,-1.1940525581343797,-0.13267250645937553,2020-06,2021-03
15,Eastern and Northern Kenya,Garissa,Long Rains,1,16,9,-1.1285117256952866,-0.12539019174392074,2021-06,2022-03
16,Eastern and Northern Kenya,Garissa,Long Rains,1,17,9,-1.1789689310561857,-0.13099654789513174,2022-06,2023-03
17,Eastern and Northern Kenya,Garissa,Long Rains,1,18,0,-1.2534707583671485,0.0,2023-06,2023-06
18,Eastern and Northern Kenya,Garissa,Long Rains,3,1,1,-1.3435921599031229,-1.3435921599031229,2001-03,2001-04
19,Eastern and Northern Kenya,Garissa,Long Rains,3,2,1,-1.5303265865189752,-1.5303265865189752,2002-03,2002-04
20,Eastern and Northern Kenya,Garissa,Long Rains,3,3,1,-1.2711107598254794,-1.2711107598254794,2003-03,2003-04
21,Eastern and Northern Kenya,Garissa,Long Rains,3,4,1,-1.762565482185025,-1.762565482185025,2005-03,2005-04
22,Eastern and Northern Kenya,Garissa,Long Rains,3,5,1,-1.07252080793559,-1.07252080793559,2006-03,2006-04
23,Eastern and Northern Kenya,Garissa,Long Rains,3,6,1,-1.4845434862973965,-1.4845434862973965,2009-03,2009-04
24,Eastern and Northern Kenya,Garissa,Long Rains,3,7,1,-1.10443310474534,-1.10443310474534,2011-03,2011-04
25,Eastern and Northern Kenya,Garissa,Long Rains,3,8,1,-1.8579034207629692,-1.8579034207629692,2012-03,2012-04
26,Eastern and Northern Kenya,Garissa,Long Rains,3,9,1,-1.4838489775133252,-1.4838489775133252,2016-03,2016-04
27,Eastern and Northern Kenya,Garissa,Long Rains,3,10,1,-1.8167847064002882,-1.8167847064002882,2017-03,2017-04
28,Eastern and Northern Kenya,Garissa,Long Rains,3,11,1,-1.576306420907648,-1.576306420907648,2021-03,2021-04
29,Eastern and Northern Kenya,Garissa,Long Rains,3,12,1,-1.7451281523084246,-1.7451281523084246,2022-03,2022-04
30,Eastern and Northern Kenya,Garissa,Short Rains,1,1,1,-1.301348754298393,-1.301348754298393,2001-10,2001-11
31,Eastern and Northern Kenya,Garissa,Short Rains,1,2,1,-1.2828356068934206,-1.2828356068934206,2005-10,2005-11
32,Eastern and Northern Kenya,Garissa,Short Rains,1,3,10,-1.6988758133287716,-0.16988758133287715,2005-12,2006-10
33,Eastern and Northern Kenya,Garissa,Short Rains,1,4,1,-1.1272464332085896,-1.1272464332085896,2008-10,2008-11
34,Eastern and Northern Kenya,Garissa,Short Rains,1,5,10,-1.6344056286023594,-0.16344056286023595,2008-12,2009-10
35,Eastern and Northern Kenya,Garissa,Short Rains,1,6,1,-1.1610981666635416,-1.1610981666635416,2010-10,2010-11
36,Eastern and Northern Kenya,Garissa,Short Rains,1,7,1,-1.0606522624931438,-1.0606522624931438,2013-10,2013-11
37,Eastern and Northern Kenya,Garissa,Short Rains,1,8,1,-1.1024878055009633,-1.1024878055009633,2014-10,2014-11
38,Eastern and Northern Kenya,Garissa,Short Rains,1,9,1,-1.5828029874146918,-1.5828029874146918,2016-10,2016-11
39,Eastern and Northern Kenya,Garissa,Short Rains,1,10,10,-1.8533960854478506,-0.18533960854478507,2017-12,2018-10
40,Eastern and Northern Kenya,Garissa,Short Rains,1,11,1,-1.308626466487893,-1.308626466487893,2021-10,2021-11
41,Eastern and Northern Kenya,Garissa,Short Rains,3,1,11,-2.453733827202711,-0.2230667115638828,2000-12,2001-11
42,Eastern and Northern Kenya,Garissa,Short Rains,3,2,12,-4.1590916383551875,-0.3465909698629323,2005-11,2006-11
43,Eastern and Northern Kenya,Garissa,Short Rains,3,3,1,-1.0004772755129108,-1.0004772755129108,2010-10,2010-11
44,Eastern and Northern Kenya,Garissa,Short Rains,3,4,10,-1.4117953352518755,-0.14117953352518756,2010-12,2011-10
45,Eastern and Northern Kenya,Garissa,Short Rains,3,5,11,-2.085489188527953,-0.18958992622981394,2013-12,2014-11
46,Eastern and Northern Kenya,Garissa,Short Rains,3,6,1,-1.8502258521482051,-1.8502258521482051,2018-11,2018-12
47,Eastern and Northern Kenya,Garissa,Short Rains,3,7,12,-4.0379729256702825,-0.3364977438058569,2020-12,2021-12
48,Eastern and Northern Kenya,Ijara,Long Rains,1,1,1,-1.1546030775924412,-1.1546030775924412,2000-03,2000-04
49,Eastern and Northern Kenya,Ijara,Long Rains,1,2,1,-1.2832426794441694,-1.2832426794441694,2002-03,2002-04
50,Eastern and Northern Kenya,Ijara,Long Rains,1,3,1,-1.0660790279390495,-1.0660790279390495,2003-03,2003-04
51,Eastern and Northern Kenya,Ijara,Long Rains,1,4,1,-1.675922941170172,-1.675922941170172,2004-03,2004-04
52,Eastern and Northern Kenya,Ijara,Long Rains,1,5,1,-1.3322611206208181,-1.3322611206208181,2005-03,2005-04
53,Eastern and Northern Kenya,Ijara,Long Rains,1,6,1,-1.107320302654065,-1.107320302654065,2006-03,2006-04
54,Eastern and Northern Kenya,Ijara,Long Rains,1,7,1,-1.5430975120097674,-1.5430975120097674,2007-03,2007-04
55,Eastern and Northern Kenya,Ijara,Long Rains,1,8,1,-1.9834008913392125,-1.9834008913392125,2009-03,2009-04
56,Eastern and Northern Kenya,Ijara,Long Rains,1,9,1,-1.6095370230822306,-1.6095370230822306,2011-03,2011-04
57,Eastern and Northern Kenya,Ijara,Long Rains,1,10,1,-1.9342482147948803,-1.9342482147948803,2012-03,2012-04
58,Eastern and Northern Kenya,Ijara,Long Rains,1,11,1,-1.6986530781089204,-1.6986530781089204,2016-03,2016-04
59,Eastern and Northern Kenya,Ijara,Long Rains,1,12,1,-1.7554665123769224,-1.7554665123769224,2017-03,2017-04
60,Eastern and Northern Kenya,Ijara,Long Rains,1,13,1,-1.9927908205453007,-1.9927908205453007,2019-03,2019-04
61,Eastern and Northern Kenya,Ijara,Long Rains,1,14,1,-1.6298140665907135,-1.6298140665907135,2021-03,2021-04
62,Eastern and Northern Kenya,Ijara,Long Rains,1,15,1,-2.046531422343199,-2.046531422343199,2022-03,2022-04
63,Eastern and Northern Kenya,Ijara,Long Rains,3,1,1,-1.314246667112151,-1.314246667112151,2001-04,2001-05
64,Eastern and Northern Kenya,Ijara,Long Rains,3,2,1,-1.0611503477508715,-1.0611503477508715,2003-04,2003-05
65,Eastern and Northern Kenya,Ijara,Long Rains,3,3,2,-3.4292825235455355,-1.7146412617727678,2004-04,2004-06
66,Eastern and Northern Kenya,Ijara,Long Rains,3,4,1,-1.2382367157009493,-1.2382367157009493,2007-04,2007-05
67,Eastern and Northern Kenya,Ijara,Long Rains,3,5,1,-1.9739851881575565,-1.9739851881575565,2009-04,2009-05
68,Eastern and Northern Kenya,Ijara,Long Rains,3,6,3,-5.661279414346254,-1.887093138115418,2012-03,2012-06
69,Eastern and Northern Kenya,Ijara,Long Rains,3,7,1,-1.1609612624443064,-1.1609612624443064,2014-04,2014-05
70,Eastern and Northern Kenya,Ijara,Long Rains,3,8,1,-1.3125802987822164,-1.3125802987822164,2016-04,2016-05
71,Eastern and Northern Kenya,Ijara,Long Rains,3,9,1,-1.063828037653283,-1.063828037653283,2017-04,2017-05
