,year,month,date,region,precipitation,Season
0,2000,2,2000-02-01T00:00:00,East/Iburasirazuba,43.56275582758038,Long Rain
1,2000,3,2000-03-01T00:00:00,East/Iburasirazuba,118.70371131520068,Long Rain
2,2000,4,2000-04-01T00:00:00,East/Iburasirazuba,89.56984059002006,Long Rain
3,2000,5,2000-05-01T00:00:00,East/Iburasirazuba,64.57184523652013,Long Rain
4,2001,2,2001-02-01T00:00:00,East/Iburasirazuba,50.71849033726964,Long Rain
5,2001,3,2001-03-01T00:00:00,East/Iburasirazuba,194.1616708141435,Long Rain
6,2001,4,2001-04-01T00:00:00,East/Iburasirazuba,108.02470672158321,Long Rain
7,2001,5,2001-05-01T00:00:00,East/Iburasirazuba,78.4552170667914,Long Rain
8,2002,2,2002-02-01T00:00:00,East/Iburasirazuba,64.7085639745505,Long Rain
9,2002,3,2002-03-01T00:00:00,East/Iburasirazuba,144.61187471420394,Long Rain
10,2002,4,2002-04-01T00:00:00,East/Iburasirazuba,170.50182084836325,Long Rain
11,2002,5,2002-05-01T00:00:00,East/Iburasirazuba,118.9433896965403,Long Rain
12,2003,2,2003-02-01T00:00:00,East/Iburasirazuba,49.03854033616333,Long Rain
13,2003,3,2003-03-01T00:00:00,East/Iburasirazuba,83.62959639887028,Long Rain
14,2003,4,2003-04-01T00:00:00,East/Iburasirazuba,141.80174914615736,Long Rain
15,2003,5,2003-05-01T00:00:00,East/Iburasirazuba,94.93698373283956,Long Rain
16,2004,2,2004-02-01T00:00:00,East/Iburasirazuba,89.63161818119147,Long Rain
17,2004,3,2004-03-01T00:00:00,East/Iburasirazuba,134.8884039556746,Long Rain
18,2004,4,2004-04-01T00:00:00,East/Iburasirazuba,167.33000945011128,Long Rain
19,2004,5,2004-05-01T00:00:00,East/Iburasirazuba,60.88121808876813,Long Rain
20,2005,2,2005-02-01T00:00:00,East/Iburasirazuba,57.52354192504278,Long Rain
21,2005,3,2005-03-01T00:00:00,East/Iburasirazuba,150.81426239496224,Long Rain
22,2005,4,2005-04-01T00:00:00,East/Iburasirazuba,115.8447997422453,Long Rain
23,2005,5,2005-05-01T00:00:00,East/Iburasirazuba,93.73385718834558,Long Rain
24,2006,2,2006-02-01T00:00:00,East/Iburasirazuba,80.51740293411602,Long Rain
25,2006,3,2006-03-01T00:00:00,East/Iburasirazuba,128.9064714280217,Long Rain
26,2006,4,2006-04-01T00:00:00,East/Iburasirazuba,192.3637255867921,Long Rain
27,2006,5,2006-05-01T00:00:00,East/Iburasirazuba,109.74463823293313,Long Rain
28,2007,2,2007-02-01T00:00:00,East/Iburasirazuba,98.21331938075825,Long Rain
29,2007,3,2007-03-01T00:00:00,East/Iburasirazuba,110.44012827284071,Long Rain
30,2007,4,2007-04-01T00:00:00,East/Iburasirazuba,139.08905690149157,Long Rain
31,2007,5,2007-05-01T00:00:00,East/Iburasirazuba,163.263795131019,Long Rain
32,2008,2,2008-02-01T00:00:00,East/Iburasirazuba,65.86534962616636,Long Rain
33,2008,3,2008-03-01T00:00:00,East/Iburasirazuba,146.9520317433011,Long Rain
34,2008,4,2008-04-01T00:00:00,East/Iburasirazuba,89.99122000827671,Long Rain
35,2008,5,2008-05-01T00:00:00,East/Iburasirazuba,56.83066045849538,Long Rain
36,2009,2,2009-02-01T00:00:00,East/Iburasirazuba,136.6635998767622,Long Rain
37,2009,3,2009-03-01T00:00:00,East/Iburasirazuba,110.57162893694927,Long Rain
38,2009,4,2009-04-01T00:00:00,East/Iburasirazuba,151.70393325056813,Long Rain
39,2009,5,2009-05-01T00:00:00,East/Iburasirazuba,121.98328883539465,Long Rain
40,2010,2,2010-02-01T00:00:00,East/Iburasirazuba,174.47390950433962,Long Rain
41,2010,3,2010-03-01T00:00:00,East/Iburasirazuba,139.46452351591512,Long Rain
42,2010,4,2010-04-01T00:00:00,East/Iburasirazuba,140.95118092796005,Long Rain
43,2010,5,2010-05-01T00:00:00,East/Iburasirazuba,80.09789097264569,Long Rain
44,2011,2,2011-02-01T00:00:00,East/Iburasirazuba,92.2908896191672,Long Rain
45,2011,3,2011-03-01T00:00:00,East/Iburasirazuba,130.35036971493025,Long Rain
46,2011,4,2011-04-01T00:00:00,East/Iburasirazuba,155.0575399232835,Long Rain
47,2011,5,2011-05-01T00:00:00,East/Iburasirazuba,81.45686391914123,Long Rain
48,2012,2,2012-02-01T00:00:00,East/Iburasirazuba,60.335458195593155,Long Rain
49,2012,3,2012-03-01T00:00:00,East/Iburasirazuba,104.64291344427947,Long Rain
50,2012,4,2012-04-01T00:00:00,East/Iburasirazuba,232.37537385318353,Long Rain
51,2012,5,2012-05-01T00:00:00,East/Iburasirazuba,149.91294412108144,Long Rain
52,2013,2,2013-02-01T00:00:00,East/Iburasirazuba,58.18866439011236,Long Rain
53,2013,3,2013-03-01T00:00:00,East/Iburasirazuba,183.4910403520428,Long Rain
54,2013,4,2013-04-01T00:00:00,East/Iburasirazuba,147.83696586597938,Long Rain
55,2013,5,2013-05-01T00:00:00,East/Iburasirazuba,63.18251643405015,Long Rain
56,2014,2,2014-02-01T00:00:00,East/Iburasirazuba,86.63156718207853,Long Rain
57,2014,3,2014-03-01T00:00:00,East/Iburasirazuba,138.02329044090322,Long Rain
58,2014,4,2014-04-01T00:00:00,East/Iburasirazuba,124.14723397609974,Long Rain
59,2014,5,2014-05-01T00:00:00,East/Iburasirazuba,36.83442112161195,Long Rain
60,2015,2,2015-02-01T00:00:00,East/Iburasirazuba,57.37506639868946,Long Rain
61,2015,3,2015-03-01T00:00:00,East/Iburasirazuba,128.12728373388165,Long Rain
62,2015,4,2015-04-01T00:00:00,East/Iburasirazuba,195.76944399251119,Long Rain
63,2015,5,2015-05-01T00:00:00,East/Iburasirazuba,54.06825679599541,Long Rain
64,2016,2,2016-02-01T00:00:00,East/Iburasirazuba,53.14944386169304,Long Rain
