,Unnamed: 0,year,month,date,region,admin2_name,precipitation,Season,season
0,0,2000,2,2000-02-01T00:00:00,east,Bugesera,43.55712352076853,Long Rain,Long Rains
1,1,2000,3,2000-03-01T00:00:00,east,Bugesera,116.56566917045612,Long Rain,Long Rains
2,2,2000,4,2000-04-01T00:00:00,east,Bugesera,87.76566582094118,Long Rain,Long Rains
3,3,2000,5,2000-05-01T00:00:00,east,Bugesera,50.15592778072725,Long Rain,Long Rains
4,4,2000,2,2000-02-01T00:00:00,east,Gatsibo,45.895979204701256,Long Rain,Long Rains
5,5,2000,3,2000-03-01T00:00:00,east,Gatsibo,105.50089378490122,Long Rain,Long Rains
6,6,2000,4,2000-04-01T00:00:00,east,Gatsibo,86.23975467173679,Long Rain,Long Rains
7,7,2000,5,2000-05-01T00:00:00,east,Gatsibo,80.79776300470367,Long Rain,Long Rains
8,8,2000,2,2000-02-01T00:00:00,east,Kayonza,40.84032306842375,Long Rain,Long Rains
9,9,2000,3,2000-03-01T00:00:00,east,Kayonza,126.71879829003262,Long Rain,Long Rains
10,10,2000,4,2000-04-01T00:00:00,east,Kayonza,85.47445499820859,Long Rain,Long Rains
11,11,2000,5,2000-05-01T00:00:00,east,Kayonza,67.28662723779787,Long Rain,Long Rains
12,12,2000,2,2000-02-01T00:00:00,east,Kirehe,43.5295206129796,Long Rain,Long Rains
13,13,2000,3,2000-03-01T00:00:00,east,Kirehe,151.7543694575431,Long Rain,Long Rains
14,14,2000,4,2000-04-01T00:00:00,east,Kirehe,103.11597552193535,Long Rain,Long Rains
15,15,2000,5,2000-05-01T00:00:00,east,Kirehe,47.28040934725553,Long Rain,Long Rains
16,16,2000,2,2000-02-01T00:00:00,east,Ngoma,42.96888063519167,Long Rain,Long Rains
17,17,2000,3,2000-03-01T00:00:00,east,Ngoma,140.754276147879,Long Rain,Long Rains
18,18,2000,4,2000-04-01T00:00:00,east,Ngoma,94.50108017986176,Long Rain,Long Rains
19,19,2000,5,2000-05-01T00:00:00,east,Ngoma,53.35394930978634,Long Rain,Long Rains
20,20,2000,2,2000-02-01T00:00:00,east,Nyagatare,44.32624862921633,Long Rain,Long Rains
21,21,2000,3,2000-03-01T00:00:00,east,Nyagatare,93.11423217550607,Long Rain,Long Rains
22,22,2000,4,2000-04-01T00:00:00,east,Nyagatare,85.69301287577511,Long Rain,Long Rains
23,23,2000,5,2000-05-01T00:00:00,east,Nyagatare,72.59542957492135,Long Rain,Long Rains
24,24,2000,2,2000-02-01T00:00:00,east,Rwamagana,44.543972137293245,Long Rain,Long Rains
25,25,2000,3,2000-03-01T00:00:00,east,Rwamagana,117.13272362133117,Long Rain,Long Rains
26,26,2000,4,2000-04-01T00:00:00,east,Rwamagana,93.4706476956914,Long Rain,Long Rains
27,27,2000,5,2000-05-01T00:00:00,east,Rwamagana,68.00786199980983,Long Rain,Long Rains
28,28,2001,2,2001-02-01T00:00:00,east,Bugesera,56.50995121922314,Long Rain,Long Rains
29,29,2001,3,2001-03-01T00:00:00,east,Bugesera,201.67225323293505,Long Rain,Long Rains
30,30,2001,4,2001-04-01T00:00:00,east,Bugesera,103.92958833212384,Long Rain,Long Rains
31,31,2001,5,2001-05-01T00:00:00,east,Bugesera,69.59114776245805,Long Rain,Long Rains
32,32,2001,2,2001-02-01T00:00:00,east,Gatsibo,55.84351324112877,Long Rain,Long Rains
33,33,2001,3,2001-03-01T00:00:00,east,Gatsibo,198.72155258527917,Long Rain,Long Rains
34,34,2001,4,2001-04-01T00:00:00,east,Gatsibo,105.97047239536906,Long Rain,Long Rains
35,35,2001,5,2001-05-01T00:00:00,east,Gatsibo,67.79496205057876,Long Rain,Long Rains
36,36,2001,2,2001-02-01T00:00:00,east,Kayonza,47.07715637609644,Long Rain,Long Rains
37,37,2001,3,2001-03-01T00:00:00,east,Kayonza,206.02504491100956,Long Rain,Long Rains
38,38,2001,4,2001-04-01T00:00:00,east,Kayonza,95.15196084927032,Long Rain,Long Rains
39,39,2001,5,2001-05-01T00:00:00,east,Kayonza,89.75479470402254,Long Rain,Long Rains
40,40,2001,2,2001-02-01T00:00:00,east,Kirehe,43.56606144145681,Long Rain,Long Rains
41,41,2001,3,2001-03-01T00:00:00,east,Kirehe,183.66008682761168,Long Rain,Long Rains
